subject,trial,celeb_id,celeb_name,celeb_image,celeb_position,rand0_name,rand0_pos,rand1_name,rand1_pos,rand2_name,rand2_pos,rand3_name,rand3_pos,answer_celeb,answer_position,correct,rt,,,,,
sub-13, trial12,15, Robert Downey Jr, ID15_IM03.bmp, (300, 300), Leonardo DiCaprio, (-300, 300), Justin Timberlake, (550, -100), Brad Pitt, (-550, -100), Ryan Gosling, (0, -400), Robert Downey Jr, [253. 288.],1,11.1757845
sub-13, trial43,12, Matt Damon, ID12_IM03.bmp, (-550, -100), Ben Affleck, (-300, 300), Hugh Jackman, (0, -400), Ben Stiller, (300, 300), Robert Downey Jr, (550, -100), Matt Damon, [-453. -100.],1,3.6944167
sub-13, trial68,12, Matt Damon, ID12_IM01.bmp, (0, -400), Justin Timberlake, (300, 300), Robert Pattinson, (-300, 300), Hugh Jackman, (-550, -100), Orlando Bloom, (550, -100), Matt Damon, [ -58. -389.],1,3.93686
sub-13, trial10,8, Hugh Jackman, ID08_IM03.bmp, (0, -400), Ben Affleck, (550, -100), Keanu Reeves, (-550, -100), Elijah Wood, (-300, 300), Matt Damon, (300, 300), Hugh Jackman, [ -37. -407.],1,4.3221508
sub-13, trial46,11, Leonardo DiCaprio, ID11_IM04.bmp, (300, 300), George Clooney, (550, -100), Hugh Jackman, (-550, -100), Elijah Wood, (0, -400), Daniel Radcliffe, (-300, 300), Leonardo DiCaprio, [279. 317.],1,3.3554765
sub-13, trial39,11, Leonardo DiCaprio, ID11_IM03.bmp, (550, -100), Robert Pattinson, (0, -400), Hugh Jackman, (-300, 300), Justin Timberlake, (-550, -100), Elijah Wood, (300, 300), Leonardo DiCaprio, [480. -97.],1,2.0109779
sub-13, trial52,15, Robert Downey Jr, ID15_IM01.bmp, (550, -100), Robert Pattinson, (-300, 300), Ryan Reynolds, (300, 300), Leonardo DiCaprio, (-550, -100), Patrick Dempsey, (0, -400), familiar face, [   9. -126.],1,7.5205198
sub-13, trial16,1, Ben Affleck, ID01_IM02.bmp, (300, 300), Justin Timberlake, (550, -100), Patrick Dempsey, (-300, 300), Elijah Wood, (0, -400), Daniel Radcliffe, (-550, -100), Ben Affleck, [323. 309.],1,3.113336
sub-13, trial54,16, Robert Pattinson, ID16_IM04.bmp, (550, -100), Daniel Craig, (300, 300), Ryan Gosling, (-550, -100), Hugh Jackman, (-300, 300), Elijah Wood, (0, -400), Robert Pattinson, [ 443. -102.],1,1.499087
sub-13, trial15,7, George Clooney, ID07_IM04.bmp, (0, -400), Ryan Gosling, (-550, -100), Daniel Craig, (550, -100), Ryan Reynolds, (-300, 300), Orlando Bloom, (300, 300), George Clooney, [  50. -376.],1,2.3409075
sub-13, trial37,17, Ryan Gosling, ID17_IM04.bmp, (550, -100), Daniel Craig, (-300, 300), Leonardo DiCaprio, (-550, -100), Ryan Reynolds, (0, -400), George Clooney, (300, 300), Ryan Gosling, [487. -99.],1,1.5891278
sub-13, trial18,7, George Clooney, ID07_IM01.bmp, (300, 300), Justin Timberlake, (550, -100), Patrick Dempsey, (-300, 300), Ben Affleck, (0, -400), Brad Pitt, (-550, -100), George Clooney, [264. 296.],1,2.4835963
sub-13, trial31,10, Keanu Reeves, ID10_IM02.bmp, (0, -400), Daniel Radcliffe, (-550, -100), Justin Timberlake, (550, -100), Hugh Jackman, (-300, 300), Matt Damon, (300, 300), Keanu Reeves, [  -2. -397.],1,5.2381556
sub-13, trial32,4, Daniel Craig, ID04_IM02.bmp, (0, -400), George Clooney, (-550, -100), Ryan Gosling, (550, -100), Elijah Wood, (300, 300), Ryan Reynolds, (-300, 300), familiar face, [  21. -120.],1,3.7308784
sub-13, trial67,2, Ben Stiller, ID02_IM01.bmp, (-550, -100), Elijah Wood, (-300, 300), George Clooney, (550, -100), Patrick Dempsey, (0, -400), Ben Affleck, (300, 300), familiar face, [  20. -122.],1,3.4596951
sub-13, trial5,5, Daniel Radcliffe, ID05_IM04.bmp, (300, 300), Matt Damon, (-300, 300), George Clooney, (-550, -100), Robert Pattinson, (0, -400), Robert Downey Jr, (550, -100), Daniel Radcliffe, [272. 284.],1,2.3753683
sub-13, trial6,14, Patrick Dempsey, ID14_IM03.bmp, (-550, -100), Robert Downey Jr, (0, -400), Orlando Bloom, (550, -100), Keanu Reeves, (300, 300), Ryan Reynolds, (-300, 300), Patrick Dempsey, [-450. -106.],1,2.693773
sub-13, trial26,17, Ryan Gosling, ID17_IM01.bmp, (0, -400), Robert Downey Jr, (550, -100), Ryan Reynolds, (-300, 300), Orlando Bloom, (-550, -100), Ben Stiller, (300, 300), Ryan Gosling, [ -27. -378.],1,2.3279923
sub-13, trial56,8, Hugh Jackman, ID08_IM02.bmp, (-300, 300), Robert Downey Jr, (0, -400), Orlando Bloom, (-550, -100), Ben Stiller, (300, 300), Daniel Radcliffe, (550, -100), Hugh Jackman, [-236.  302.],1,3.1853958
sub-13, trial35,10, Keanu Reeves, ID10_IM03.bmp, (-300, 300), Elijah Wood, (-550, -100), Orlando Bloom, (550, -100), Patrick Dempsey, (0, -400), Ben Stiller, (300, 300), familiar face, [  16. -119.],1,1.3510996
sub-13, trial59,6, Elijah Wood, ID06_IM03.bmp, (-300, 300), Orlando Bloom, (-550, -100), Ryan Gosling, (300, 300), Daniel Craig, (550, -100), Robert Downey Jr, (0, -400), familiar face, [   6. -127.],1,5.0387383
sub-13, trial53,3, Brad Pitt, ID03_IM01.bmp, (0, -400), Ryan Gosling, (550, -100), George Clooney, (300, 300), Hugh Jackman, (-300, 300), Patrick Dempsey, (-550, -100), Brad Pitt, [  31. -388.],1,1.3001682
sub-13, trial63,18, Ryan Reynolds, ID18_IM04.bmp, (0, -400), Ryan Gosling, (-300, 300), Keanu Reeves, (-550, -100), Leonardo DiCaprio, (550, -100), Matt Damon, (300, 300), Ryan Reynolds, [  31. -388.],1,2.1075969
sub-13, trial50,16, Robert Pattinson, ID16_IM02.bmp, (0, -400), Ben Stiller, (550, -100), Orlando Bloom, (300, 300), Justin Timberlake, (-300, 300), Daniel Radcliffe, (-550, -100), Robert Pattinson, [ -19. -372.],1,2.1985303
sub-13, trial7,18, Ryan Reynolds, ID18_IM03.bmp, (-550, -100), George Clooney, (-300, 300), Brad Pitt, (0, -400), Hugh Jackman, (300, 300), Leonardo DiCaprio, (550, -100), Ryan Reynolds, [-452.  -93.],1,2.7641345
sub-13, trial8,13, Orlando Bloom, ID13_IM01.bmp, (-300, 300), Matt Damon, (0, -400), Robert Pattinson, (-550, -100), Ben Stiller, (300, 300), Elijah Wood, (550, -100), Orlando Bloom, [-225.  268.],1,2.4512634
sub-13, trial66,12, Matt Damon, ID12_IM02.bmp, (300, 300), Orlando Bloom, (550, -100), Elijah Wood, (-550, -100), Ryan Reynolds, (0, -400), Ryan Gosling, (-300, 300), familiar face, [  17. -128.],1,6.6872072
sub-13, trial69,3, Brad Pitt, ID03_IM04.bmp, (300, 300), Matt Damon, (0, -400), Patrick Dempsey, (-300, 300), George Clooney, (550, -100), Daniel Radcliffe, (-550, -100), Brad Pitt, [262. 280.],1,1.8501584
sub-13, trial21,10, Keanu Reeves, ID10_IM04.bmp, (0, -400), Matt Damon, (-300, 300), Elijah Wood, (-550, -100), Ryan Reynolds, (550, -100), Robert Pattinson, (300, 300), familiar face, [  13. -124.],1,1.9100511
sub-13, trial57,2, Ben Stiller, ID02_IM02.bmp, (-550, -100), Robert Pattinson, (550, -100), Daniel Radcliffe, (0, -400), Hugh Jackman, (-300, 300), Ryan Gosling, (300, 300), familiar face, [ -17. -126.],1,1.9107775
sub-13, trial51,15, Robert Downey Jr, ID15_IM04.bmp, (-300, 300), Elijah Wood, (-550, -100), Daniel Radcliffe, (0, -400), Daniel Craig, (550, -100), Hugh Jackman, (300, 300), familiar face, [ -18. -126.],1,3.6797923
sub-13, trial62,9, Justin Timberlake, ID09_IM02.bmp, (-550, -100), Patrick Dempsey, (-300, 300), Daniel Radcliffe, (300, 300), Robert Pattinson, (550, -100), Ryan Gosling, (0, -400), Justin Timberlake, [-436. -106.],1,1.5783592
sub-13, trial17,8, Hugh Jackman, ID08_IM04.bmp, (0, -400), Ryan Gosling, (300, 300), Robert Pattinson, (-300, 300), George Clooney, (550, -100), Ryan Reynolds, (-550, -100), Hugh Jackman, [ -29. -412.],1,1.6418167
sub-13, trial34,14, Patrick Dempsey, ID14_IM01.bmp, (300, 300), Orlando Bloom, (-300, 300), Hugh Jackman, (550, -100), Ryan Reynolds, (0, -400), Justin Timberlake, (-550, -100), Patrick Dempsey, [345. 282.],1,2.5974378
sub-13, trial29,14, Patrick Dempsey, ID14_IM02.bmp, (0, -400), Ryan Gosling, (300, 300), Ben Affleck, (-550, -100), Matt Damon, (550, -100), Daniel Craig, (-300, 300), Patrick Dempsey, [  12. -393.],1,1.9710208
sub-13, trial58,7, George Clooney, ID07_IM02.bmp, (0, -400), Patrick Dempsey, (-550, -100), Robert Downey Jr, (550, -100), Elijah Wood, (-300, 300), Daniel Radcliffe, (300, 300), George Clooney, [ -59. -384.],1,1.3220552
sub-13, trial13,16, Robert Pattinson, ID16_IM03.bmp, (-300, 300), Leonardo DiCaprio, (300, 300), Ryan Reynolds, (-550, -100), Robert Downey Jr, (0, -400), Matt Damon, (550, -100), Robert Pattinson, [-222.  272.],1,1.7947643
sub-13, trial1,10, Keanu Reeves, ID10_IM01.bmp, (-550, -100), Orlando Bloom, (-300, 300), Leonardo DiCaprio, (300, 300), Justin Timberlake, (550, -100), Robert Downey Jr, (0, -400), familiar face, [  22. -127.],1,1.7292659
sub-13, trial19,5, Daniel Radcliffe, ID05_IM03.bmp, (550, -100), Matt Damon, (-300, 300), Brad Pitt, (300, 300), Daniel Craig, (-550, -100), Ben Stiller, (0, -400), Daniel Radcliffe, [395. -85.],1,1.7297035
sub-13, trial9,11, Leonardo DiCaprio, ID11_IM02.bmp, (-550, -100), Ryan Gosling, (300, 300), Hugh Jackman, (-300, 300), Robert Downey Jr, (0, -400), Patrick Dempsey, (550, -100), Leonardo DiCaprio, [-438.  -68.],1,1.3144532
sub-13, trial45,1, Ben Affleck, ID01_IM04.bmp, (-550, -100), Justin Timberlake, (300, 300), Hugh Jackman, (-300, 300), Daniel Radcliffe, (0, -400), Robert Pattinson, (550, -100), Daniel Radcliffe, [   7. -379.],0,1.4446081
sub-13, trial4,16, Robert Pattinson, ID16_IM01.bmp, (550, -100), Daniel Radcliffe, (-550, -100), Keanu Reeves, (0, -400), Ryan Reynolds, (-300, 300), Ben Stiller, (300, 300), Robert Pattinson, [479. -95.],1,1.7841406
sub-13, trial30,3, Brad Pitt, ID03_IM02.bmp, (-300, 300), Justin Timberlake, (0, -400), Ryan Reynolds, (300, 300), Ben Stiller, (-550, -100), Hugh Jackman, (550, -100), Brad Pitt, [-250.  303.],1,1.5264272
sub-13, trial22,17, Ryan Gosling, ID17_IM02.bmp, (0, -400), Elijah Wood, (-550, -100), Brad Pitt, (-300, 300), Leonardo DiCaprio, (300, 300), Robert Pattinson, (550, -100), Ryan Gosling, [  76. -389.],1,1.6949434
sub-13, trial24,2, Ben Stiller, ID02_IM03.bmp, (-550, -100), Ryan Gosling, (300, 300), Robert Pattinson, (550, -100), Patrick Dempsey, (-300, 300), Orlando Bloom, (0, -400), Ben Stiller, [-461. -101.],1,3.8017026
sub-13, trial60,4, Daniel Craig, ID04_IM03.bmp, (300, 300), George Clooney, (550, -100), Brad Pitt, (0, -400), Daniel Radcliffe, (-300, 300), Patrick Dempsey, (-550, -100), Daniel Craig, [270. 294.],1,4.1422548
sub-13, trial48,18, Ryan Reynolds, ID18_IM01.bmp, (-550, -100), George Clooney, (550, -100), Ben Stiller, (300, 300), Hugh Jackman, (-300, 300), Daniel Craig, (0, -400), familiar face, [ -43. -140.],1,2.4308421
sub-13, trial36,18, Ryan Reynolds, ID18_IM02.bmp, (-300, 300), Leonardo DiCaprio, (-550, -100), Matt Damon, (300, 300), Orlando Bloom, (550, -100), Robert Pattinson, (0, -400), Ryan Reynolds, [-237.  311.],1,1.9327456
sub-13, trial38,13, Orlando Bloom, ID13_IM03.bmp, (550, -100), Elijah Wood, (-550, -100), Keanu Reeves, (300, 300), Robert Pattinson, (0, -400), Leonardo DiCaprio, (-300, 300), Orlando Bloom, [454. -99.],1,1.3882558
sub-13, trial25,12, Matt Damon, ID12_IM04.bmp, (550, -100), Ben Affleck, (0, -400), Patrick Dempsey, (-300, 300), Ryan Gosling, (-550, -100), Brad Pitt, (300, 300), Matt Damon, [468. -97.],1,2.6350347
sub-13, trial2,17, Ryan Gosling, ID17_IM03.bmp, (-300, 300), Brad Pitt, (550, -100), Ryan Reynolds, (300, 300), Robert Downey Jr, (0, -400), Daniel Craig, (-550, -100), Ryan Reynolds, [279. 284.],0,1.3519954
sub-13, trial61,4, Daniel Craig, ID04_IM04.bmp, (-550, -100), Patrick Dempsey, (-300, 300), Justin Timberlake, (550, -100), Daniel Radcliffe, (0, -400), Elijah Wood, (300, 300), familiar face, [-39. -91.],1,3.1507552
sub-13, trial41,4, Daniel Craig, ID04_IM01.bmp, (-550, -100), Robert Downey Jr, (300, 300), George Clooney, (-300, 300), Matt Damon, (0, -400), Ryan Reynolds, (550, -100), familiar face, [-39. -91.],1,1.4055076
sub-13, trial42,6, Elijah Wood, ID06_IM02.bmp, (550, -100), Brad Pitt, (-300, 300), Patrick Dempsey, (-550, -100), Daniel Radcliffe, (300, 300), Robert Downey Jr, (0, -400), Daniel Radcliffe, [219. 283.],0,6.1178356
sub-13, trial72,2, Ben Stiller, ID02_IM04.bmp, (300, 300), Ryan Reynolds, (-300, 300), Robert Pattinson, (0, -400), Orlando Bloom, (-550, -100), Patrick Dempsey, (550, -100), Ben Stiller, [223. 266.],1,3.0783452
sub-13, trial71,3, Brad Pitt, ID03_IM03.bmp, (-550, -100), Hugh Jackman, (-300, 300), Matt Damon, (550, -100), Orlando Bloom, (300, 300), Ryan Gosling, (0, -400), Brad Pitt, [-419.  -73.],1,1.1942736
sub-13, trial14,13, Orlando Bloom, ID13_IM04.bmp, (0, -400), Patrick Dempsey, (-300, 300), Ben Stiller, (550, -100), Matt Damon, (-550, -100), Ben Affleck, (300, 300), Orlando Bloom, [ -12. -414.],1,1.5592587
sub-13, trial44,6, Elijah Wood, ID06_IM01.bmp, (300, 300), Orlando Bloom, (-300, 300), Ben Stiller, (550, -100), Robert Downey Jr, (0, -400), Hugh Jackman, (-550, -100), Robert Downey Jr, [  29. -398.],0,4.3116611
sub-13, trial3,8, Hugh Jackman, ID08_IM01.bmp, (-550, -100), Daniel Radcliffe, (300, 300), Keanu Reeves, (-300, 300), Ben Affleck, (0, -400), Matt Damon, (550, -100), Hugh Jackman, [-534. -106.],1,2.6880835
sub-13, trial70,1, Ben Affleck, ID01_IM01.bmp, (300, 300), Ryan Gosling, (0, -400), Robert Pattinson, (-300, 300), Brad Pitt, (-550, -100), Daniel Craig, (550, -100), Ben Affleck, [203. 315.],1,2.1629945
sub-13, trial28,9, Justin Timberlake, ID09_IM03.bmp, (0, -400), Daniel Craig, (550, -100), George Clooney, (300, 300), Ben Stiller, (-300, 300), Hugh Jackman, (-550, -100), Justin Timberlake, [   7. -383.],1,1.6835981
sub-13, trial11,5, Daniel Radcliffe, ID05_IM01.bmp, (0, -400), Ben Affleck, (300, 300), Elijah Wood, (-300, 300), Leonardo DiCaprio, (550, -100), Ben Stiller, (-550, -100), Daniel Radcliffe, [   7. -383.],1,1.7164315
sub-13, trial33,5, Daniel Radcliffe, ID05_IM02.bmp, (300, 300), Robert Pattinson, (-300, 300), Orlando Bloom, (550, -100), Elijah Wood, (0, -400), Justin Timberlake, (-550, -100), Elijah Wood, [   7. -383.],0,4.3484551
sub-13, trial49,9, Justin Timberlake, ID09_IM04.bmp, (550, -100), Ryan Gosling, (-300, 300), Matt Damon, (-550, -100), Ben Affleck, (300, 300), Brad Pitt, (0, -400), Justin Timberlake, [ 459. -102.],1,1.4376091
sub-13, trial20,7, George Clooney, ID07_IM03.bmp, (-550, -100), Justin Timberlake, (0, -400), Orlando Bloom, (-300, 300), Patrick Dempsey, (550, -100), Ryan Reynolds, (300, 300), George Clooney, [-465. -110.],1,1.7940982
sub-13, trial40,13, Orlando Bloom, ID13_IM02.bmp, (-550, -100), Ryan Gosling, (0, -400), Brad Pitt, (300, 300), Daniel Radcliffe, (550, -100), Hugh Jackman, (-300, 300), Orlando Bloom, [-465. -110.],1,1.383076
sub-13, trial64,6, Elijah Wood, ID06_IM04.bmp, (300, 300), Ryan Reynolds, (0, -400), Keanu Reeves, (-300, 300), Orlando Bloom, (-550, -100), Patrick Dempsey, (550, -100), Elijah Wood, [210. 274.],1,7.3020236
sub-13, trial27,11, Leonardo DiCaprio, ID11_IM01.bmp, (550, -100), Daniel Radcliffe, (-550, -100), Hugh Jackman, (300, 300), Ben Stiller, (-300, 300), Robert Pattinson, (0, -400), Leonardo DiCaprio, [ 463. -109.],1,1.5999182
sub-13, trial65,15, Robert Downey Jr, ID15_IM02.bmp, (0, -400), Elijah Wood, (-300, 300), Daniel Craig, (300, 300), Robert Pattinson, (-550, -100), Leonardo DiCaprio, (550, -100), familiar face, [  32. -109.],1,0.9251587
sub-13, trial23,9, Justin Timberlake, ID09_IM01.bmp, (550, -100), Ryan Gosling, (-550, -100), Elijah Wood, (300, 300), Ben Stiller, (0, -400), Keanu Reeves, (-300, 300), Justin Timberlake, [ 445. -139.],1,2.0382142
sub-13, trial47,14, Patrick Dempsey, ID14_IM04.bmp, (300, 300), Hugh Jackman, (0, -400), Ben Affleck, (-550, -100), Ryan Reynolds, (550, -100), Ryan Gosling, (-300, 300), Patrick Dempsey, [270. 278.],1,1.2578741
sub-13, trial55,1, Ben Affleck, ID01_IM03.bmp, (300, 300), Matt Damon, (-300, 300), Robert Downey Jr, (550, -100), Brad Pitt, (0, -400), Elijah Wood, (-550, -100), Ben Affleck, [264. 274.],1,2.3657613
