subject,trial,celeb_id,celeb_name,celeb_image,celeb_pos1,celeb_pos2,rand0_name,rand0_pos1,rand0_pos2,rand1_name,rand1_pos1,rand1_pos2,rand2_name,rand2_pos1,rand2_pos2,rand3_name,rand3_pos1,rand3_pos2,answer_celeb,answer_position,correct,rt
sub-12, trial5, 05, Daniel Radcliffe, ID05_IM04.bmp, (-300, 300), Patrick Dempsey, (0, -400), George Clooney, (550, -100), Robert Pattinson, (-550, -100), Elijah Wood, (300, 300), Daniel Radcliffe, [-155.  272.], 1, 3.520674300030805
sub-12, trial18, 15, Robert Downey Jr, ID15_IM04.bmp, (0, -400), Elijah Wood, (300, 300), Matt Damon, (-550, -100), Orlando Bloom, (550, -100), Brad Pitt, (-300, 300), Robert Downey Jr, [  16. -364.], 1, 2.0330422000261024
sub-12, trial38, 11, Leonardo DiCaprio, ID11_IM01.bmp, (-550, -100), Ben Stiller, (550, -100), Ryan Reynolds, (300, 300), Hugh Jackman, (-300, 300), Keanu Reeves, (0, -400), Leonardo DiCaprio, [-468. -102.], 1, 1.5805846999865025
sub-12, trial6, 03, Brad Pitt, ID03_IM03.bmp, (300, 300), Ryan Gosling, (-300, 300), Daniel Radcliffe, (550, -100), Ben Stiller, (0, -400), Keanu Reeves, (-550, -100), Brad Pitt, [259. 305.], 1, 2.0438967999070883
sub-12, trial61, 16, Robert Pattinson, ID16_IM03.bmp, (300, 300), Patrick Dempsey, (-550, -100), Daniel Craig, (550, -100), Justin Timberlake, (0, -400), Brad Pitt, (-300, 300), Robert Pattinson, [274. 343.], 1, 1.823922900017351
sub-12, trial40, 10, Keanu Reeves, ID10_IM01.bmp, (300, 300), Ben Stiller, (0, -400), George Clooney, (-300, 300), Daniel Craig, (550, -100), Leonardo DiCaprio, (-550, -100), Ben Stiller, [  33. -397.], 0, 2.3254642999963835
sub-12, trial15, 08, Hugh Jackman, ID08_IM02.bmp, (-300, 300), Ryan Gosling, (0, -400), Leonardo DiCaprio, (300, 300), Ryan Reynolds, (550, -100), Daniel Radcliffe, (-550, -100), Hugh Jackman, [-246.  288.], 1, 1.4697128999978304
sub-12, trial56, 04, Daniel Craig, ID04_IM02.bmp, (-300, 300), Justin Timberlake, (-550, -100), Leonardo DiCaprio, (550, -100), Brad Pitt, (300, 300), Ryan Reynolds, (0, -400), Daniel Craig, [-246.  301.], 1, 2.6080279999878258
sub-12, trial7, 14, Patrick Dempsey, ID14_IM02.bmp, (300, 300), Robert Pattinson, (0, -400), Ben Affleck, (-300, 300), Ryan Reynolds, (550, -100), Daniel Craig, (-550, -100), Patrick Dempsey, [271. 300.], 1, 2.2067549999337643
sub-12, trial32, 09, Justin Timberlake, ID09_IM03.bmp, (0, -400), Brad Pitt, (550, -100), Daniel Craig, (-300, 300), Ben Stiller, (300, 300), Patrick Dempsey, (-550, -100), Justin Timberlake, [ -40. -371.], 1, 1.2358997000847012
sub-12, trial64, 11, Leonardo DiCaprio, ID11_IM03.bmp, (300, 300), Ben Affleck, (550, -100), Daniel Craig, (-550, -100), Justin Timberlake, (-300, 300), Brad Pitt, (0, -400), Leonardo DiCaprio, [293. 289.], 1, 1.4334107000613585
sub-12, trial28, 04, Daniel Craig, ID04_IM01.bmp, (0, -400), Daniel Radcliffe, (550, -100), Elijah Wood, (300, 300), Matt Damon, (-300, 300), Robert Downey Jr, (-550, -100), Daniel Craig, [  46. -411.], 1, 1.6768346999306232
sub-12, trial63, 14, Patrick Dempsey, ID14_IM03.bmp, (300, 300), Elijah Wood, (550, -100), Daniel Radcliffe, (-300, 300), Orlando Bloom, (-550, -100), Hugh Jackman, (0, -400), Patrick Dempsey, [347. 297.], 1, 1.1119020000332966
sub-12, trial2, 06, Elijah Wood, ID06_IM02.bmp, (300, 300), Brad Pitt, (-300, 300), Orlando Bloom, (0, -400), Keanu Reeves, (550, -100), Robert Downey Jr, (-550, -100), Keanu Reeves, [ 561. -117.], 0, 1.7621939000673592
sub-12, trial70, 16, Robert Pattinson, ID16_IM02.bmp, (-300, 300), Patrick Dempsey, (-550, -100), Ben Stiller, (0, -400), George Clooney, (550, -100), Hugh Jackman, (300, 300), Robert Pattinson, [-240.  281.], 1, 1.8009902999037877
sub-12, trial8, 08, Hugh Jackman, ID08_IM01.bmp, (0, -400), Matt Damon, (550, -100), Robert Pattinson, (-300, 300), Ben Affleck, (-550, -100), Ryan Reynolds, (300, 300), Robert Pattinson, [-273.  293.], 0, 2.838650200050324
sub-12, trial43, 01, Ben Affleck, ID01_IM03.bmp, (550, -100), George Clooney, (-300, 300), Leonardo DiCaprio, (-550, -100), Robert Pattinson, (300, 300), Orlando Bloom, (0, -400), Ben Affleck, [438. -85.], 1, 2.6827101999660954
sub-12, trial57, 17, Ryan Gosling, ID17_IM02.bmp, (550, -100), Keanu Reeves, (-300, 300), Daniel Radcliffe, (-550, -100), Orlando Bloom, (0, -400), Justin Timberlake, (300, 300), Ryan Gosling, [ 513. -104.], 1, 1.8680736999958754
sub-12, trial71, 13, Orlando Bloom, ID13_IM02.bmp, (550, -100), Keanu Reeves, (300, 300), Elijah Wood, (-550, -100), Matt Damon, (-300, 300), Daniel Craig, (0, -400), Orlando Bloom, [ 543. -101.], 1, 2.768170800060034
sub-12, trial59, 12, Matt Damon, ID12_IM01.bmp, (550, -100), Brad Pitt, (300, 300), Leonardo DiCaprio, (-550, -100), Robert Downey Jr, (-300, 300), George Clooney, (0, -400), Matt Damon, [541. -55.], 1, 2.2386838999809697
sub-12, trial30, 01, Ben Affleck, ID01_IM01.bmp, (0, -400), Ben Stiller, (-550, -100), Daniel Radcliffe, (-300, 300), George Clooney, (300, 300), Justin Timberlake, (550, -100), idk, [73. 10.], 0, 1.4748973000096157
sub-12, trial50, 16, Robert Pattinson, ID16_IM01.bmp, (-550, -100), Elijah Wood, (-300, 300), Hugh Jackman, (550, -100), Brad Pitt, (0, -400), Keanu Reeves, (300, 300), Robert Pattinson, [-431.  -90.], 1, 1.3816959999967366
sub-12, trial72, 09, Justin Timberlake, ID09_IM04.bmp, (-300, 300), Keanu Reeves, (0, -400), Brad Pitt, (300, 300), Matt Damon, (-550, -100), Hugh Jackman, (550, -100), Justin Timberlake, [-200.  317.], 1, 1.1719549999106675
sub-12, trial68, 18, Ryan Reynolds, ID18_IM04.bmp, (550, -100), Leonardo DiCaprio, (300, 300), Robert Pattinson, (-550, -100), Ben Stiller, (-300, 300), Orlando Bloom, (0, -400), Ryan Reynolds, [ 452. -127.], 1, 1.466921899933368
sub-12, trial46, 05, Daniel Radcliffe, ID05_IM01.bmp, (550, -100), Daniel Craig, (-300, 300), Justin Timberlake, (0, -400), Ryan Gosling, (-550, -100), Leonardo DiCaprio, (300, 300), Daniel Radcliffe, [ 412. -131.], 1, 1.7259612999623641
sub-12, trial16, 15, Robert Downey Jr, ID15_IM03.bmp, (0, -400), Ben Stiller, (550, -100), Elijah Wood, (300, 300), George Clooney, (-550, -100), Matt Damon, (-300, 300), Robert Downey Jr, [  52. -420.], 1, 1.1433799000224099
sub-12, trial45, 01, Ben Affleck, ID01_IM04.bmp, (300, 300), Orlando Bloom, (-550, -100), George Clooney, (-300, 300), Ryan Reynolds, (550, -100), Elijah Wood, (0, -400), idk, [26. -2.], 0, 2.9432876999489963
sub-12, trial13, 06, Elijah Wood, ID06_IM04.bmp, (300, 300), Ben Stiller, (550, -100), Ryan Reynolds, (-300, 300), Daniel Radcliffe, (0, -400), Hugh Jackman, (-550, -100), idk, [15. -7.], 0, 2.0270893999841064
sub-12, trial3, 03, Brad Pitt, ID03_IM02.bmp, (-300, 300), Patrick Dempsey, (-550, -100), Keanu Reeves, (0, -400), Orlando Bloom, (300, 300), Hugh Jackman, (550, -100), Brad Pitt, [-173.  281.], 1, 1.07657030003611
sub-12, trial49, 10, Keanu Reeves, ID10_IM04.bmp, (0, -400), Robert Pattinson, (-300, 300), Ben Affleck, (-550, -100), Matt Damon, (550, -100), Patrick Dempsey, (300, 300), Keanu Reeves, [  56. -417.], 1, 4.303645299980417
sub-12, trial4, 07, George Clooney, ID07_IM02.bmp, (-300, 300), Ben Affleck, (300, 300), Ben Stiller, (550, -100), Justin Timberlake, (-550, -100), Orlando Bloom, (0, -400), George Clooney, [-272.  319.], 1, 1.313259300077334
sub-12, trial14, 17, Ryan Gosling, ID17_IM04.bmp, (-550, -100), Patrick Dempsey, (300, 300), Orlando Bloom, (0, -400), Ryan Reynolds, (550, -100), Daniel Radcliffe, (-300, 300), Ryan Gosling, [-462. -101.], 1, 2.546631300006993
sub-12, trial53, 07, George Clooney, ID07_IM04.bmp, (-550, -100), Patrick Dempsey, (550, -100), Matt Damon, (300, 300), Robert Pattinson, (0, -400), Brad Pitt, (-300, 300), George Clooney, [-451. -103.], 1, 2.9311401000013575
sub-12, trial11, 06, Elijah Wood, ID06_IM03.bmp, (0, -400), Daniel Radcliffe, (-550, -100), Ryan Reynolds, (-300, 300), Daniel Craig, (550, -100), Ryan Gosling, (300, 300), Elijah Wood, [  51. -385.], 1, 2.1318269999464974
sub-12, trial44, 03, Brad Pitt, ID03_IM01.bmp, (300, 300), Leonardo DiCaprio, (550, -100), Patrick Dempsey, (-550, -100), Robert Downey Jr, (-300, 300), Daniel Craig, (0, -400), Brad Pitt, [278. 314.], 1, 1.5323114999337122
sub-12, trial51, 15, Robert Downey Jr, ID15_IM01.bmp, (300, 300), Brad Pitt, (-550, -100), Ben Affleck, (-300, 300), Ben Stiller, (550, -100), Justin Timberlake, (0, -400), Robert Downey Jr, [256. 312.], 1, 1.5884158000117168
sub-12, trial26, 02, Ben Stiller, ID02_IM04.bmp, (300, 300), Daniel Craig, (-300, 300), Ryan Gosling, (-550, -100), Ryan Reynolds, (550, -100), Robert Downey Jr, (0, -400), Ben Stiller, [281. 274.], 1, 2.1146739000687376
sub-12, trial42, 07, George Clooney, ID07_IM01.bmp, (-300, 300), Hugh Jackman, (0, -400), Ben Affleck, (-550, -100), Ryan Gosling, (300, 300), Daniel Radcliffe, (550, -100), George Clooney, [-253.  289.], 1, 2.004990400047973
sub-12, trial39, 10, Keanu Reeves, ID10_IM03.bmp, (300, 300), Leonardo DiCaprio, (-300, 300), Elijah Wood, (0, -400), Orlando Bloom, (550, -100), Ben Affleck, (-550, -100), Keanu Reeves, [253. 264.], 1, 2.426353899994865
sub-12, trial9, 02, Ben Stiller, ID02_IM02.bmp, (-550, -100), Daniel Radcliffe, (300, 300), Robert Downey Jr, (550, -100), Robert Pattinson, (0, -400), Elijah Wood, (-300, 300), idk, [-20.  -2.], 0, 2.063059600070119
sub-12, trial65, 04, Daniel Craig, ID04_IM03.bmp, (-300, 300), Ben Stiller, (300, 300), Ryan Gosling, (0, -400), Ben Affleck, (550, -100), Brad Pitt, (-550, -100), Daniel Craig, [-196.  296.], 1, 1.2904095000121742
sub-12, trial10, 15, Robert Downey Jr, ID15_IM02.bmp, (550, -100), Daniel Craig, (-550, -100), Hugh Jackman, (300, 300), Matt Damon, (0, -400), Justin Timberlake, (-300, 300), Hugh Jackman, [244. 269.], 0, 2.1414595999522135
sub-12, trial24, 12, Matt Damon, ID12_IM03.bmp, (-300, 300), Brad Pitt, (300, 300), Ben Stiller, (550, -100), Ryan Reynolds, (-550, -100), Ryan Gosling, (0, -400), Matt Damon, [-204.  285.], 1, 1.2295556999742985
sub-12, trial29, 18, Ryan Reynolds, ID18_IM03.bmp, (-300, 300), Ben Affleck, (300, 300), Justin Timberlake, (550, -100), Robert Downey Jr, (-550, -100), Leonardo DiCaprio, (0, -400), Ryan Reynolds, [-193.  302.], 1, 1.4097192999906838
sub-12, trial22, 13, Orlando Bloom, ID13_IM04.bmp, (-300, 300), Brad Pitt, (300, 300), Ryan Gosling, (0, -400), Justin Timberlake, (-550, -100), Keanu Reeves, (550, -100), Orlando Bloom, [-194.  326.], 1, 1.8550327999982983
sub-12, trial19, 18, Ryan Reynolds, ID18_IM02.bmp, (550, -100), Matt Damon, (-550, -100), Daniel Craig, (-300, 300), Leonardo DiCaprio, (0, -400), Robert Pattinson, (300, 300), Ryan Reynolds, [500. -83.], 1, 1.8587440000846982
sub-12, trial31, 04, Daniel Craig, ID04_IM04.bmp, (-550, -100), Brad Pitt, (0, -400), Robert Pattinson, (300, 300), Patrick Dempsey, (-300, 300), Elijah Wood, (550, -100), Daniel Craig, [-484.  -93.], 1, 1.7182878999738023
sub-12, trial47, 05, Daniel Radcliffe, ID05_IM02.bmp, (-550, -100), Hugh Jackman, (300, 300), Daniel Craig, (0, -400), Elijah Wood, (550, -100), Ryan Reynolds, (-300, 300), Daniel Radcliffe, [-420. -124.], 1, 1.943085900042206
sub-12, trial34, 11, Leonardo DiCaprio, ID11_IM02.bmp, (-300, 300), Orlando Bloom, (0, -400), Elijah Wood, (550, -100), Robert Pattinson, (300, 300), Keanu Reeves, (-550, -100), Leonardo DiCaprio, [-264.  268.], 1, 1.0320990999462083
sub-12, trial17, 18, Ryan Reynolds, ID18_IM01.bmp, (-300, 300), Robert Downey Jr, (-550, -100), Ben Stiller, (0, -400), Orlando Bloom, (550, -100), Brad Pitt, (300, 300), Ryan Reynolds, [-273.  281.], 1, 1.3793219999643043
sub-12, trial35, 17, Ryan Gosling, ID17_IM03.bmp, (-300, 300), Robert Downey Jr, (-550, -100), Patrick Dempsey, (0, -400), Keanu Reeves, (300, 300), Ben Affleck, (550, -100), Ryan Gosling, [-335.  325.], 1, 1.4349553999491036
sub-12, trial60, 09, Justin Timberlake, ID09_IM01.bmp, (300, 300), Ryan Reynolds, (550, -100), Patrick Dempsey, (0, -400), Keanu Reeves, (-300, 300), Matt Damon, (-550, -100), Justin Timberlake, [244. 281.], 1, 1.5916229999857023
sub-12, trial52, 02, Ben Stiller, ID02_IM03.bmp, (-300, 300), Brad Pitt, (300, 300), Robert Downey Jr, (0, -400), George Clooney, (550, -100), Leonardo DiCaprio, (-550, -100), idk, [-15.   0.], 0, 1.949780400027521
sub-12, trial12, 14, Patrick Dempsey, ID14_IM01.bmp, (300, 300), Ryan Gosling, (550, -100), Brad Pitt, (-550, -100), Daniel Radcliffe, (-300, 300), Justin Timberlake, (0, -400), Patrick Dempsey, [274. 279.], 1, 0.9814640000695363
sub-12, trial58, 12, Matt Damon, ID12_IM02.bmp, (-550, -100), Ryan Gosling, (300, 300), Leonardo DiCaprio, (550, -100), Justin Timberlake, (0, -400), Hugh Jackman, (-300, 300), Matt Damon, [-454.  -97.], 1, 1.2033748000394553
